source,target
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do pollen medium
fuzzybot do location was saved,fuzzybot do is a *{weight=1000}
fuzzybot do first message,set @notificationsword
fuzzybot do location was saved,fuzzybot do first message
fuzzybot do location was saved,fuzzybot do location was saved
fuzzybot do help{weight=1000},fuzzybot do weather convert temp{weight=100}
fuzzybot do is a [*] @no [*]{weight=1000},@sureyes{weight=2}
fuzzybot do lang en wildcard{weight=1},@sureyes{weight=2}
set @notificationsword,fuzzybot do is a *{weight=1000}
fuzzybot do settings buttons temperature{weight=1000},more info
5-day forecast,fuzzybot do is a *{weight=1000}
more info,fuzzybot do is a [*] @no [*]{weight=1000}
fuzzybot do location was saved,set @notificationsword
more info,fuzzybot do is a [*] @yes [*]{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20}
fuzzybot do help{weight=1000},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},hourly forecast{weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do ignore banned
(@hourlyforecast){weight=5},hourly forecast{weight=100}
[*] (@tomorrowterms) weather [*]{weight=101},fuzzybot do weather error *{weight=100}
more info,fuzzybot do weather convert temp{weight=100}
fuzzybot do is a *,more info
more info,fuzzybot do make nice username{weight=1000}
*,fuzzybot do notification change and *
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do pollen high
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do hunger topic
(what are|when) [*] (@notificationsword){weight=10},more info
hourly forecast{weight=100},fuzzybot do settings buttons temperature{weight=1000}
hourly forecast{weight=100},fuzzybot do is a *{weight=1000}
fuzzybot do location was saved,fuzzybot do lang en wildcard{weight=1}
fuzzybot do make nice username{weight=1000},@sureyes{weight=2}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},@sureyes{weight=2}
fuzzybot do first message,fuzzybot do help{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},fuzzybot do help{weight=1000}
@sureyes{weight=2},fuzzybot do weather error *{weight=100}
*,fuzzybot do settings buttons temperature{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},@sureyes{weight=2}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do location was saved
(5day|5 day|5-day|five day) forecast{weight=100},set @notificationsword
(5day|5 day|5-day|five day) forecast{weight=100},@sureyes{weight=2}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do settings buttons temperature{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do location was saved
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},more info
fuzzybot do location was saved,fuzzybot do weather error *{weight=100}
hourly forecast{weight=100},fuzzybot do notification forecast{weight=100}
[*] (@weatherword) [*] (@dayabbvterms) [*]{weight=101},fuzzybot do lang en wildcard{weight=1}
hourly forecast{weight=100},[*] (@goodbye) [*]{weight=1}
[*] (@weatherword) [*] (@dayabbvterms) [*]{weight=101},fuzzybot do weather error *{weight=100}
fuzzybot do help{weight=1000},[*] (purr|puurr|meow|roar|mew) [*]
(@forecast){weight=5},fuzzybot do is a *{weight=1000}
[*] (@forecast|@weatherword) please [*]{weight=6},fuzzybot do lang en wildcard{weight=1}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*]
fuzzybot do pollen medium,fuzzybot do lang en wildcard{weight=1}
[*] (@weatherword) [*] (@dayabbvterms) [*]{weight=101},[*] (@weatherword) [*] (@dayabbvterms) [*]{weight=101}
fuzzybot do notification change and *,@sureyes{weight=2}
hourly forecast{weight=100},more info
fuzzybot do location was saved,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do pollen high,fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do pollen high
fuzzybot do help{weight=1000},(great|cool|awesome|ok|okay)
fuzzybot do pollen high,fuzzybot do make nice username{weight=1000}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do make nice username{weight=1000}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],@sureyes{weight=2}
hourly forecast{weight=100},fuzzybot do pollen medium
@sureyes{weight=2},fuzzybot do weather convert temp{weight=100}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},more info
(what are|when) [*] (@notificationsword){weight=10},@sureyes{weight=2}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do location was saved
more info,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(5day|5 day|5-day|five day) forecast{weight=100},more info
fuzzybot do help{weight=1000},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
fuzzybot do is a [*] @cancel [*]{weight=1000},fuzzybot do is a [*] @cancel [*]{weight=1000}
fuzzybot do help{weight=1000},fuzzybot do is a [*] @cancel [*]{weight=1000}
zuck likes poncho,fuzzybot do is a *{weight=1000}
zuck likes poncho,fuzzybot do lang en wildcard{weight=1}
(@updateword) [*] (location){weight=100},more info
(@updateword) [*] (location){weight=100},@sureyes{weight=2}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*]
fuzzybot do location was saved,[*] (@goodbye) [*]{weight=1}
fuzzybot do help{weight=1000},[*] (@goodbye) [*]{weight=1}
fuzzybot do save location continue{weight=200},[*] (@goodbye) [*]{weight=1}
more info,fuzzybot do weather error *{weight=100}
hourly forecast{weight=100},fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (how are you|how're you|howre you) [*]
fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000},fuzzybot do make nice username{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},@sureyes{weight=2}
fuzzybot do pollen high,[*] (@goodbye) [*]{weight=1}
[*] (how are you|how're you|howre you) [*],fuzzybot do make nice username{weight=1000}
fuzzybot do pollen medium,fuzzybot do make nice username{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do pollen low
fuzzybot do pollen medium,(great|cool|awesome|ok|okay)
[*] (@outlook) [@nearplace] *{weight=5},fuzzybot do help{weight=1000}
fuzzybot do notification change and *,more info
[*] (how are you|how're you|howre you) [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do location was saved,fuzzybot do help{weight=1000}
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},fuzzybot do is a *{weight=1000}
fuzzybot do save location continue{weight=200},@sureyes{weight=2}
fuzzybot do location was saved,(great|cool|awesome|ok|okay)
fuzzybot do settings buttons temperature{weight=1000},@sureyes{weight=2}
[*] (@goodbye) [*]{weight=1},[*] (how are you|how're you|howre you) [*]
fuzzybot do pollen medium,fuzzybot do pollen medium
fuzzybot do help{weight=1000},fuzzybot do is a [*] @yes [*]{weight=1000}
hourly forecast{weight=100},[*] (@badwordsinsults) [*]
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms) [*] [@nearplace] *{weight=6},fuzzybot do lang en wildcard{weight=1}
fuzzybot do pollen medium,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do is a [*] @cancel [*]{weight=1000},@sureyes{weight=2}
[*] (how are you|how're you|howre you) [*],fuzzybot do lang en wildcard{weight=1}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
fuzzybot do pollen medium,fuzzybot do pollen high
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],[*] (how are you|how're you|howre you) [*]
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*]
fuzzybot do save location continue{weight=200},more info
fuzzybot do settings buttons temperature{weight=1000},(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100}
[*] (@badwordsmiddleschool) [*],[*] (@badwordsmiddleschool) [*]
hourly forecast{weight=100},(@weatherword) (@tomorrowterms) [@hereterms]{weight=5}
hourly forecast{weight=100},fuzzybot do pollen low
fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*],fuzzybot do help{weight=1000}
fuzzybot do set firsttime location{weight=200},fuzzybot do set firsttime location{weight=200}
fuzzybot do set firsttime location{weight=200},fuzzybot do help{weight=1000}
fuzzybot do set firsttime location{weight=200},fuzzybot do is a [*] @yes [*]{weight=1000}
fuzzybot do is a [*] @yes [*]{weight=1000},@sureyes{weight=2}
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},fuzzybot do is a *{weight=1000}
* (@weatherword){weight=5},[*] (@weatherword) [*] (@dayabbvterms) [*]{weight=101}
fuzzybot do notification change and *,fuzzybot do location was saved
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},fuzzybot do help{weight=1000}
[*] (@goodbye) [*]{weight=1},yes
[*] (@tomorrowterms) weather [*]{weight=101},fuzzybot do lang en wildcard{weight=1}
fuzzybot do make nice username{weight=1000},yes
(what are|when) [*] (@notificationsword){weight=10},[*] (turn off|disable|stop|no more|pause) [*] (@notificationsword) [*]{weight=101}
set @notificationsword,fuzzybot do lang en wildcard{weight=1}
[*] (how are you|how're you|howre you) [*],fuzzybot do is a *{weight=1000}
hourly forecast{weight=100},fuzzybot do notification forecast at *{weight=100}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do is a [*] @yes [*]{weight=1000}
fuzzybot do help{weight=1000},fuzzybot do pollen high
* (@weatherword){weight=5},more info
* (@weatherword){weight=5},fuzzybot do is a *{weight=1000}
*,[*] (turn off|disable|stop|no more|pause) [*] (@notificationsword) [*]{weight=101}
fuzzybot do pollen high,fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do help{weight=1000}
fuzzybot do pollen medium,fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do is a [*] @cancel [*]{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do weather buttons in *{weight=101}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do who will win the election
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},@sureyes{weight=2}
fuzzybot do help{weight=1000},[*] (how are you|how're you|howre you) [*]
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do is a *{weight=1000}
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],[*] (@hello) [*]
fuzzybot do location was saved,fuzzybot do is a [*] @no [*]{weight=1000}
hourly forecast{weight=100},[error] fuzzybot do (frizz|pollen) error *{weight=100}
fuzzybot do pollen medium,fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a [*] @yes [*]{weight=1000}
*,(@updateword) [*] (location){weight=100}
fuzzybot do location was saved,fuzzybot do is a [*] @yes [*]{weight=1000}
*,[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*]
fuzzybot do nlp word future tense for *{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do nlp weather error *{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do weather convert temp{weight=1000},fuzzybot do nlp weather error *{weight=1000}
fuzzybot do nlp weather error *{weight=1000},fuzzybot do nlp weather error *{weight=1000}
*,fuzzybot do nlp weather error *{weight=1000}
fuzzybot do weather convert temp{weight=1000},fuzzybot do help{weight=1000}
fuzzybot do weather convert temp{weight=1000},fuzzybot do weather convert temp{weight=1000}
fuzzybot do nlp word present tense for *{weight=1000},fuzzybot do lang en wildcard{weight=1}
*,fuzzybot do nlp word present tense for *{weight=1000}
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100}
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},(@updateword) [*] (@temperatureword) [to] @fahrenheitword{weight=100}
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},fuzzybot do first message
*,fuzzybot do weather buttons in *{weight=1000}
*,fuzzybot do set firsttime location{weight=200}
fuzzybot do weather convert temp{weight=1000},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do weather convert temp{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2),fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2)
fuzzybot do weather convert temp{weight=1000},fuzzybot do weather convert temp{weight=100}
fuzzybot do weather buttons in *{weight=1000},fuzzybot do weather buttons in *{weight=1000}
[*] (@hello) [*],[*] (how are you|how're you|howre you) [*]
*,fuzzybot do weather convert min temp{weight=1000}
fuzzybot do weather convert min temp{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2),fuzzybot do lang en wildcard{weight=1}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2)
fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2),[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do weather convert min temp{weight=1000},fuzzybot do weather convert min temp{weight=1000}
fuzzybot do weather convert temp{weight=1000},[*] (@hello) [*]
fuzzybot do weather convert temp{weight=1000},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do weather buttons in *{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do weather convert temp{weight=1000},hourly forecast{weight=100}
fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2),fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
(@updateword) [*] (@temperatureword) [to] @fahrenheitword{weight=100},(@updateword) [*] (@temperatureword) [to] @fahrenheitword{weight=100}
fuzzybot do weather convert min temp{weight=1000},fuzzybot do help{weight=1000}
fuzzybot do weather convert min temp{weight=1000},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do weather convert min temp{weight=1000},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do weather convert temp{weight=1000},fuzzybot do is a *{weight=1000}
fuzzybot do weather convert temp{weight=1000},fuzzybot do settings buttons temperature{weight=1000}
hourly forecast{weight=100},fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2)
fuzzybot do weather convert temp{weight=1000},(great|cool|awesome|ok|okay)
[error] fuzzybot do (frizz|pollen) error *{weight=1000},fuzzybot do lang en wildcard{weight=1}
*,(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100}
fuzzybot do nlp weather error *{weight=1000},fuzzybot do help{weight=1000}
fuzzybot do nlp word future tense for *{weight=1000},fuzzybot do nlp word future tense for *{weight=1000}
*,[error] fuzzybot do (frizz|pollen) error *{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather convert temp{weight=1000}
fuzzybot do nlp word present tense for *{weight=1000},fuzzybot do nlp word present tense for *{weight=1000}
fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2),fuzzybot do make nice username{weight=1000}
*,[*] [referral|referal|refer|promo] (code|codes) [*]
*,fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2)
*,fuzzybot do nlp weather condition at what time{weight=1000}
fuzzybot do nlp weather condition at what time{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do weather convert temp{weight=1000},fuzzybot do nlp word future tense for *{weight=1000}
fuzzybot do weather convert temp{weight=1000},fuzzybot do make nice username{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do pollen medium
fuzzybot do notification forecast subject at *{weight=1000},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do notification forecast subject at *{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do pollen medium
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do notification forecast subject at *{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do pollen high
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2)
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do weather convert temp{weight=1000},[*] (@goodbye) [*]{weight=1}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do make nice username{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},[*] (@goodbye) [*]{weight=1}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
fuzzybot do nlp weather condition at what time{weight=1000},fuzzybot do nlp weather condition at what time{weight=1000}
fuzzybot do weather convert temp{weight=1000},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
fuzzybot do weather buttons in *{weight=1000},fuzzybot do save location continue{weight=200}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*]
fuzzybot do weather convert temp{weight=1000},fuzzybot do weather convert min temp{weight=1000}
*,fuzzybot do notification forecast subject at *{weight=1000}
fuzzybot do nlp weather error *{weight=1000},@sureyes{weight=2}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do is a *{weight=1000}
fuzzybot do weather convert temp{weight=1000},fuzzybot do notification forecast subject at *{weight=1000}
hourly forecast{weight=100},fuzzybot do notification forecast subject at *{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do help{weight=1000}
*,fuzzybot do nlp (time|weather) not found{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do save location continue{weight=200}
fuzzybot do nlp weather accessory currently * false [*]{weight=1000},fuzzybot do nlp weather accessory currently * false [*]{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do pollen low
fuzzybot do notification forecast subject at *{weight=1000},(great|cool|awesome|ok|okay)
fuzzybot do fallback forecast{weight=500},direct: nlpCheckHourlyForecast
fuzzybot do wildcard *{weight=1},direct: nlpCheckHourlyForecast
[*] (@helpword) [*]{weight=200},direct: nlpCheckHourlyForecast
fuzzybot do sticker response [*],fuzzybot do wildcard *{weight=1}
fuzzybot do nlp (time|weather) not found{weight=1000},fuzzybot do wildcard *{weight=1}
fuzzybot do push notification subject at (15|16|17|18|19|20|21|22|23|0|1|2),fuzzybot do fallback forecast{weight=500}
direct: nlpCheckOutlook,direct: nlpCheckHourlyForecast
fuzzybot do sticker response [*],[*] (@helpword) [*]{weight=200}
fuzzybot do fallback forecast{weight=500},fuzzybot do fallback forecast{weight=500}
fuzzybot do sticker response [*],fuzzybot do sticker response [*]
fuzzybot do nlp weather currently{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do nlp weather currently{weight=1000},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do nlp weather currently{weight=1000},fuzzybot do wildcard *{weight=1}
fuzzybot do nlp weather currently{weight=1000},fuzzybot do nlp weather currently{weight=1000}
fuzzybot do lang en wildcard{weight=1},fuzzybot do fallback forecast{weight=500}
fuzzybot do notification forecast subject at *{weight=1000},[*] (@hello) [*]
fuzzybot do nlp weather currently{weight=1000},fuzzybot do fallback forecast{weight=500}
*,fuzzybot do nlp weather currently{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},direct: nlpCheckHourlyForecast
fuzzybot do notification forecast subject at *{weight=1000},direct: nlpCheckOutlook
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do notification forecast subject at *{weight=1000}
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do sticker response [*]
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do wildcard *{weight=1}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do fallback forecast{weight=500}
fuzzybot do help{weight=1000},fuzzybot do fallback forecast{weight=500}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do wildcard *{weight=1}
fuzzybot do nlp weather currently{weight=1000},fuzzybot do sticker response [*]
fuzzybot do nlp weather currently{weight=1000},[*] (@hello) [*]
fuzzybot do wildcard *{weight=1},fuzzybot do fallback forecast{weight=500}
fuzzybot do nlp weather currently{weight=1000},direct: nlpCheckOutlook
[*] (@goodbye) [*]{weight=1},fuzzybot do wildcard *{weight=1}
fuzzybot do sticker response [*],fuzzybot do fallback forecast{weight=500}
[*] (@helpword) [*]{weight=200},direct: nlpCheckOutlook
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do fallback forecast{weight=500}
(great|cool|awesome|ok|okay),fuzzybot do wildcard *{weight=1}
fuzzybot do nlp weather currently{weight=1000},fuzzybot do notification forecast subject at *{weight=1000}
*,[change|show|list|update|delete|edit|adjust|alter|snooze|stop] [*] (@notificationsword){weight=1}
fuzzybot do wildcard *{weight=1},direct: nlpCheckOutlook
(haha|hahaha|hahahaha|lol|lolz|hehe|hehehe|hah),(haha|hahaha|hahahaha|lol|lolz|hehe|hehehe|hah)
[*] (@badwordsinsults) [*],fuzzybot do wildcard *{weight=1}
[*] (@helpword) [*]{weight=200},fuzzybot do wildcard *{weight=1}
(haha|hahaha|hahahaha|lol|lolz|hehe|hehehe|hah),fuzzybot do wildcard *{weight=1}
fuzzybot do wildcard *{weight=1},fuzzybot do wildcard *{weight=1}
fuzzybot do fallback forecast{weight=500},*{weight=1}
[change|show|list|update|delete|edit|adjust|alter|snooze|stop] [*] (@notificationsword){weight=1},fuzzybot do wildcard *{weight=1}
direct: nlpCheckHourlyForecast,direct: nlpCheckHourlyForecast
fuzzybot do fallback forecast{weight=500},direct: nlpCheckOutlook
fuzzybot do nlp (time|weather) not found{weight=1000},fuzzybot do nlp weather currently{weight=1000}
[*] (@hello) [*],fuzzybot do wildcard *{weight=1}
fuzzybot do notification forecast subject at *{weight=1000},[*] (@helpword) [*]{weight=200}
[*] (settings|setting|preferences|prefs) [*],[*] (@helpword) [*]{weight=200}
fuzzybot do nlp weather at day #{weight=1000},fuzzybot do wildcard *{weight=1}
[*] (settings|setting|preferences|prefs) [*],fuzzybot do wildcard *{weight=1}
*,fuzzybot do sticker response [*]
fuzzybot do push notification subject at (3|4|5|6|7|8|9|10|11|12|13|14),fuzzybot do push notification subject at (3|4|5|6|7|8|9|10|11|12|13|14)
fuzzybot do notification forecast subject at *{weight=1000},fuzzybot do abtest push notification 00001
fuzzybot do nlp temperature currently{weight=1000},fuzzybot do wildcard *{weight=1}
fuzzybot do notification activate saved *,fuzzybot do wildcard *{weight=1}
[*] (how are you|how're you|howre you) [*],fuzzybot do wildcard *{weight=1}
[*] (@badwordsmiddleschool) [*],fuzzybot do wildcard *{weight=1}
fuzzybot do location was saved,direct: nlpCheckOutlook
fuzzybot do nlp weather currently{weight=1000},fuzzybot do nlp weather accessory currently * false [*]{weight=1000}
