source,target
fuzzybot do save location *,[*] weathercat [*]
[*] weathercat [*],fuzzybot do weather error *{weight=100}
fuzzybot do is a *,[*] (@whatrequest) [*] (weather|temp|temperature) [@nearplace] *{weight=5}
[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5},[*] (@whatrequest) [*] (weather|temp|temperature) [@nearplace] *{weight=5}
hourly forecast{weight=100},(@sureyes)
fuzzybot do is a *,fuzzybot do make nice username{weight=1000}
fuzzybot do notification change and *,(great|cool|awesome|ok|okay)
(@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do is a [*] @yes [*],[*] weathercat [*]
(great|cool|awesome|ok|okay),fuzzybot do weather convert temp{weight=100}
fuzzybot do first message,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(what are|when) [*] (@notificationsword){weight=10},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(what|really),fuzzybot do weather error *{weight=100}
(great|cool|awesome|ok|okay),[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(@no),(@no)
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do onboarding complete *
fuzzybot do first message,(@sureyes)
fuzzybot do is a *,fuzzybot do ignore banned
fuzzybot do ignore banned,fuzzybot do lang en wildcard{weight=1}
[*] i (like|love) (u|you|me|us) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do lang en wildcard{weight=1},fuzzybot do help
[*] (hm|hmm|hrm|hrmm|hmmm) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do daily update 2 continue,fuzzybot do weather error *{weight=100}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do save location *
* (live|reside|sleep) [at|in|near|on] *,fuzzybot do weather error *{weight=100}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20}
fuzzybot do save location *,[*] (@hello) [*]
fuzzybot do weather error *{weight=100},fuzzybot do daily update 1
fuzzybot do weather convert temp{weight=100},fuzzybot do weather error *{weight=100}
[*] (@goodbye) [*]{weight=1},fuzzybot do weather error *{weight=100}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do save location *
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do lang unknown wildcard{weight=1}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
fuzzybot do weather error *{weight=100},(weather|temp|temperature) (@tomorrowterms) [@hereterms]{weight=5}
[*] (@badwordsmiddleschool) [*],fuzzybot do lang en wildcard{weight=1}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@badwordsinsults) [*]
fuzzybot do is a [*] @yes [*],fuzzybot do onboarding ask user location
(@no),fuzzybot do weather error *{weight=100}
fuzzybot do weather convert temp{weight=100},fuzzybot do onboarding complete *
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do lang en wildcard{weight=1}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do onboarding complete *
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do is a *
fuzzybot do save location *,[*] (@whatrequest) [*] (weather|temp|temperature) [*] (@tomorrowterms){weight=5}
*,fuzzybot do weather error *{weight=100}
hourly forecast{weight=100},fuzzybot do first message
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (purr|puurr|meow|roar|mew) [*]
fuzzybot do weather error *{weight=100},fuzzybot do weather in * with facebook buttons{weight=100}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do first message
*,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do daily update eval preference *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do daily update 2 continue
fuzzybot do first message,fuzzybot do daily update eval preference *
fuzzybot do onboarding ask user location,fuzzybot do daily update eval preference *
hourly forecast{weight=100},fuzzybot do weather error *{weight=100}
hourly forecast{weight=100},* (@forecast){weight=5}
fuzzybot do is a [*] @no [*],fuzzybot do save location *
hourly forecast{weight=100},fuzzybot do onboarding complete *
[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*],fuzzybot do lang en wildcard{weight=1}
hourly forecast{weight=100},[*] (@forecast) [@nearplace] *{weight=5}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do lang en wildcard{weight=1}
(what are|when) [*] (@notificationsword){weight=10},(what are|when) [*] (@notificationsword){weight=10}
fuzzybot do lang en wildcard{weight=1},fuzzybot do daily update eval preference *
fuzzybot do notification change and *,fuzzybot do notification change and *
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do notification change and *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do lang en wildcard{weight=1},(weather|temp|temperature) (@tomorrowterms) [@hereterms]{weight=5}
fuzzybot do lang en wildcard{weight=1},(5day|5 day|5-day) forecast{weight=100}
hourly forecast{weight=100},fuzzybot do lang en wildcard{weight=1}
fuzzybot do first message,[*] (@hello) [*]
[*] (@forecast) [@nearplace] *{weight=5},fuzzybot do lang en wildcard{weight=1}
[*] (@hello) [*],(what|really)
fuzzybot do hahaha,fuzzybot do lang en wildcard{weight=1}
(great|cool|awesome|ok|okay),fuzzybot do onboarding ask user location
fuzzybot do save location *,fuzzybot do weather convert temp{weight=100}
fuzzybot do you full,fuzzybot do you full
food mouth now,fuzzybot do you full
fuzzybot do first message,(great|cool|awesome|ok|okay)
(@forecast){weight=5},(@forecast){weight=5}
fuzzybot do daily update eval preference *,fuzzybot do weather error *{weight=100}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do weather convert temp{weight=100}
fuzzybot do is a *,fuzzybot do weather convert temp{weight=100}
fuzzybot do lang en wildcard{weight=1},fuzzybot do weather convert temp{weight=100}
(@hourlyforecast){weight=5},(@hourlyforecast){weight=5}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do daily update 1
got anything else,fuzzybot do you full
(@hourlyforecast){weight=5},fuzzybot do weather convert temp{weight=100}
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do make nice username{weight=1000}
(@bye),fuzzybot do lang en wildcard{weight=1}
(@no),fuzzybot do lang en wildcard{weight=1}
[*] sorry [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do you full,fuzzybot do lang en wildcard{weight=1}
[*] (purr|puurr|meow|roar|mew) [*],[*] (purr|puurr|meow|roar|mew) [*]
(great|cool|awesome|ok|okay),(@sureyes)
*,fuzzybot do lang en wildcard{weight=1}
*,[*] i do not know [*]
(what|really),(what|really)
5-day forecast,more info
more info,more info
forecast,more info
more info,(@sureyes)
(@bye),(@bye)
*,(@sureyes)
*,@sureyes{weight=2}
more info,fuzzybot do is a *{weight=1000}
fuzzybot do help{weight=1000},@sureyes{weight=2}
fuzzybot do first message,more info
more info,@sureyes{weight=2}
i like music,*
[*] (@badwordsinsults) [*],yes
(@sureyes),(what|really)
*,fuzzybot do hahaha
@sureyes{weight=2},@sureyes{weight=2}
(@sureyes),fuzzybot do wildcard *{weight=1}
fuzzybot do location was saved,*{weight=1}
fuzzybot do ignore banned,yes
fuzzybot do is a *,[*] (@whatrequest) [*] (weather|temp|temperature) [@todayterms]{weight=5}
[*] what [are] (u|you) (up to|doing) [*],fuzzybot do make nice username{weight=1000}
date me [*],fuzzybot do make nice username{weight=1000}
i am starving,fuzzybot do lang en wildcard{weight=1}
i am starving,i want that recipe
(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat),fuzzybot do hunger topic
food mouth now,fuzzybot do lang en wildcard{weight=1}
*,i am starving
*,fuzzybot do make nice username{weight=1000}
(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat),fuzzybot do lang en wildcard{weight=1}
(@sureyes),[*] (@badwordsinsults) [*]
i am starving,heck yes
fuzzybot do make nice username{weight=1000},[*] (@badwordsinsults) [*]
fuzzybot do lang en wildcard{weight=1},[*] (@whatrequest) [*] (weather|temp|temperature) [@todayterms]{weight=5}
[*] (@hello) [*],fuzzybot do make nice username{weight=1000}
fuzzybot do save location *,[*] (@badwordsinsults) [*]
fuzzybot do lang en wildcard{weight=1},yeah i am sorry
i am starving,(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat)
*,yes
[*] (@hello) [*],[*] (@hello) [*]
[*] (@zuck) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @yes [*],fuzzybot do daily update 1
[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*],[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
@no,fuzzybot do lang en wildcard{weight=1}
*,(what|really)
[*] (purr|puurr|meow|roar|mew) [*],(@bye)
fuzzybot do pollen high,fuzzybot do lang en wildcard{weight=1}
